#-----------------------------------------------------------------------------
# Date d'extraction : 16/07/2019 - 07h16 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario A2
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
#                  (1 - hiver, 2 - printemps, 3 - été, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORSSWI : Intégration de Indicateur sècheresse d'humidité des sols (null)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;Saison;NORSSWI;
#-----------------------------------------------------------------------------
1922;42.4921;1.8998;A2;H1;4;-0.21;
1923;42.4924;1.9969;A2;H1;1;-0.51;
1923;42.4924;1.9969;A2;H1;2;-0.57;
1923;42.4924;1.9969;A2;H1;3;-0.32;
1923;42.4924;1.9969;A2;H1;4;-0.17;
1924;42.4927;2.0939;A2;H1;1;-0.53;
1924;42.4927;2.0939;A2;H1;2;-0.61;
1924;42.4927;2.0939;A2;H1;3;-0.36;
1924;42.4927;2.0939;A2;H1;4;-0.22;
1925;42.4929;2.191;A2;H1;1;-0.67;
1925;42.4929;2.191;A2;H1;2;-0.67;
1925;42.4929;2.191;A2;H1;3;-0.62;
1925;42.4929;2.191;A2;H1;4;-0.55;
1926;42.4929;2.2881;A2;H1;1;-0.72;
1926;42.4929;2.2881;A2;H1;2;-0.89;
1926;42.4929;2.2881;A2;H1;3;-0.71;
1926;42.4929;2.2881;A2;H1;4;-0.55;
1927;42.4929;2.3851;A2;H1;1;-0.63;
1927;42.4929;2.3851;A2;H1;2;-0.59;
1927;42.4929;2.3851;A2;H1;3;-0.53;
1927;42.4929;2.3851;A2;H1;4;-0.53;
1928;42.4929;2.4822;A2;H1;1;-0.76;
1928;42.4929;2.4822;A2;H1;2;-1.15;
1928;42.4929;2.4822;A2;H1;3;-0.54;
1928;42.4929;2.4822;A2;H1;4;-0.45;
1929;42.4927;2.5792;A2;H1;1;-0.68;
1929;42.4927;2.5792;A2;H1;2;-0.5;
1929;42.4927;2.5792;A2;H1;3;-0.47;
1929;42.4927;2.5792;A2;H1;4;-0.54;
1930;42.4924;2.6763;A2;H1;1;-0.5;
1930;42.4924;2.6763;A2;H1;2;-0.24;
1930;42.4924;2.6763;A2;H1;3;-0.42;
1930;42.4924;2.6763;A2;H1;4;-0.62;
1931;42.4921;2.7733;A2;H1;1;-0.52;
1931;42.4921;2.7733;A2;H1;2;-0.35;
1931;42.4921;2.7733;A2;H1;3;-0.5;
1931;42.4921;2.7733;A2;H1;4;-0.55;
1932;42.4916;2.8704;A2;H1;1;-0.54;
1932;42.4916;2.8704;A2;H1;2;-0.34;
1932;42.4916;2.8704;A2;H1;3;-0.55;
1932;42.4916;2.8704;A2;H1;4;-0.61;
1933;42.4911;2.9674;A2;H1;1;-0.56;
1933;42.4911;2.9674;A2;H1;2;-0.43;
1933;42.4911;2.9674;A2;H1;3;-0.67;
1933;42.4911;2.9674;A2;H1;4;-0.52;
1934;42.4905;3.0645;A2;H1;1;-0.54;
1934;42.4905;3.0645;A2;H1;2;-0.44;
1934;42.4905;3.0645;A2;H1;3;-0.64;
1934;42.4905;3.0645;A2;H1;4;-0.51;
1992;42.303;8.6801;A2;H1;1;-1.78;
1992;42.303;8.6801;A2;H1;2;-0.76;
